Date,Price,Open,High,Low,Vol
9/4/22,426.48,421.23,427.98,419.5,197614723.4
10/4/22,417.75,426.48,429.54,416.54,253219814.4
11/4/22,394.25,417.74,419.43,391,497159750.4
12/4/22,413.47,394.25,416.81,392.1,472479170.4
13/04/2022,423.02,413.47,424.49,410.08,524477424
14/04/2022,414.58,423.03,426.87,411.1,317959205.6
15/04/2022,416.94,414.58,419.86,412.41,233610557.7
16/04/2022,417.14,416.95,418.89,411.5,166179045.1
17/04/2022,406.37,417.15,418.2,405.28,202106421
18/04/2022,416.67,406.37,417.85,395.75,391478212.3
19/04/2022,422.16,416.7,424.5,414.53,353764469
20/04/2022,418.03,422.15,431.44,414.56,361974656.8
21/04/2022,404.67,418.02,426,400.72,388487539.9
22/04/2022,406.45,404.66,413.87,403.16,310627520
23/04/2022,400.84,406.45,408.06,396,206059404.5
24/04/2022,398.63,400.84,405.12,396.96,180292041.8
25/04/2022,404.11,398.62,405.83,381.79,432754128.1
26/04/2022,385.67,404.12,407.51,380.45,377224048.9
27/04/2022,391.21,385.65,394.72,383.1,312515384.3
28/04/2022,406.8,391.22,408.43,388.17,514363448.5
29/04/2022,392.69,406.8,410.45,389.46,366058363.4
30/04/2022,376.52,392.69,399.85,375.73,304619811.1
